incident_administrative_unit,incident_county,incident_acres_burned,incident_longitude,incident_latitude,incident_type,calfire_incident,mean_temperature,Population,incident_days,month_extinguished
CAL FIRE San Luis Obispo Unit,San Luis Obispo,94.0,-120.8358,35.4393,Unknown,True,21.028833,281712,0.0,9
CAL FIRE Mendocino Unit,Mendocino,98.0,-122.966,38.9252,Unknown,True,13.773334,91145,1.0,9
CAL FIRE Sonoma-Lake-Napa Unit,Napa,376.0,-122.289,38.628,Unknown,True,18.61429,137384,1.0,10
CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,159.0,-122.6503,38.34599,Unknown,True,19.502708,488436,1.0,10
Camp Pendleton Marine Corps Base,San Diego,2236.0,-117.3092,33.341,Unknown,False,20.373167,3289701,4.0,10
CAL FIRE Butte Unit,Butte,305.0,-121.497,39.439,Unknown,True,18.989332,213605,1.0,10
Orange County Fire Authority,Orange,40.0,-117.6649,33.7655,Unknown,True,18.875814,3175227,3.0,10
CAL FIRE Sonoma-Lake-Napa Unit,Yolo,163.0,-122.08725,38.67479,Unknown,True,14.283,217141,0.0,11
CAL FIRE Shasta-Trinity Unit,Shasta,33.0,-122.140914,40.483662,Unknown,True,15.294999,181852,0.0,11
CAL FIRE San Luis Obispo Unit,San Luis Obispo,51.0,-120.751555,35.457978,Unknown,True,14.4887085,281712,1.0,11
CAL FIRE Sonoma-Lake-Napa Unit,Lake,120.0,-122.567525,38.882214,Unknown,True,15.122862,68024,2.0,11
CAL FIRE Sonoma-Lake-Napa Unit,Napa,190.0,-122.311,38.382,Unknown,True,13.637056,137384,2.0,11
Ventura County Fire Department,Ventura,64.0,-119.13249,34.384,Unknown,True,19.043457,842009,1.0,11
CAL FIRE Mendocino Unit,Mendocino,82.0,-123.1478,39.0442,Unknown,True,14.112667,91145,0.0,11
CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,3505.0,-122.8498,38.8167,Unknown,True,9.708501,488436,5.0,11
CAL FIRE Sonoma-Lake-Napa Unit,Lake,50.0,-122.7656,39.0448,Unknown,True,10.648,68024,1.0,11
CAL FIRE Sonoma-Lake-Napa Unit,Lake,23.0,-122.5818,38.9289,Unknown,True,12.114166,68024,1.0,11
CAL FIRE Santa Clara Unit,Santa Clara,40.0,-121.717706,37.342186,Unknown,True,11.686082,1916831,0.0,12
Lassen National Forest,Tehama,865.0,-121.790183,40.134597,Unknown,False,6.5964723,65484,8.0,1
Angeles National Forest and LA County Fire Department,Los Angeles,1952.0,-117.8816,34.1703,Unknown,False,17.44111,9936690,11.0,1
CAL FIRE Humboldt Del-Norte Unit,Humboldt,333.0,-123.773779,40.884415,Unknown,True,2.5583334,136132,4.0,1
CAL FIRE Fresno-Kings Unit,Fresno,106.0,-119.3415,36.8266,Unknown,True,12.970166,1008280,1.0,1
USFS - Cleveland National Forest,San Diego,125.0,-116.49,32.81,Unknown,False,12.801353,3289701,3.0,3
CAL FIRE San Benito-Monterey Unit,Monterey,400.0,-121.4819,36.6313,Unknown,True,13.674333,437609,2.0,3
CAL FIRE / Riverside County Fire,Riverside,57.0,-116.1985,33.5982,Unknown,True,19.917334,2429487,1.0,3
CAL FIRE San Bernardino Unit,Inyo,113.0,-118.352,37.399,Unknown,True,18.209473,18829,2.0,4
CAL FIRE San Bernardino / USFS / Rancho Cucamonga Fire,San Bernardino,2143.0,-117.547374,34.169346,Unknown,True,21.672056,2180563,5.0,5
CAL FIRE San Diego Unit,San Diego,29.0,-116.222,32.665,Unknown,True,15.819793,3289701,1.0,5
CAL FIRE San Diego Unit/San Diego City Fire/Rancho Santa Fe Fire District,San Diego,1548.0,-117.133,33.003,Unknown,True,25.229084,3289701,4.0,5
CAL FIRE San Benito-Monterey Unit,Monterey,75.0,-121.117,36.103,Unknown,True,24.486666,437609,1.0,5
